Index,Tổng doanh thu hoạt động kinh doanh,Các khoản giảm trừ doanh thu,Doanh thu thuần (1)-(2),Giá vốn hàng bán,Lợi nhuận gộp (3)-(4),Doanh thu hoạt động tài chính,Chi phí tài chính,Chi phí lãi vay,Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,Chi phí bán hàng,Chi phí quản lý doanh nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),Thu nhập khác,Chi phí khác,Lợi nhuận khác (12)-(13),Tổng lợi nhuận kế toán trước thuế (11)+(14),Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN (16)+(17),Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
Q3 2019,135460,0,135460,61156,74303,13323,7,0,0,0,17261,70359,6,0,6,70365,14189,0,14189,56176,0,56176
Q4 2019,135605,0,135605,83633,51972,27796,34,0,0,0,18467,61268,2091,0,2091,63358,12688,0,12688,50670,0,50670
Q1 2020,106368,0,106368,46302,60066,4351,0,0,0,0,9357,55060,152,0,152,55212,11216,0,11216,43996,0,43996
Q2 2020,130693,0,130693,55910,74783,48568,169,0,0,0,11387,111794,157,0,157,111951,16516,0,16516,95435,0,95435
Q3 2020,141683,0,141683,68764,72920,7622,0,0,0,0,16425,64116,1264,0,1264,65381,13475,0,13475,51906,0,51906
Q4 2020,139441,0,139441,97794,41648,29854,168,0,0,0,13539,57794,8,0,8,57802,11458,0,11458,46344,0,46344
Q1 2021,132246,0,132246,59016,73230,4184,0,0,0,0,12789,64625,452,263,189,64815,13119,0,13119,51696,0,51696
Q2 2021,166337,0,166337,61245,105091,11383,74,0,0,0,14740,101661,11,0,11,101672,20395,0,20395,81277,0,81277
Q3 2021,156636,0,156636,80067,76569,38229,70,0,0,0,15711,99018,309,0,309,99327,13795,0,13795,85532,0,85532
Q4 2021,153358,0,153358,88879,64479,28618,111,0,0,0,17414,75572,14,2100,-2086,73486,14864,0,14864,58622,0,58622
